[0522/130134.019:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0522/133652.722:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133701.246:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133706.508:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133711.516:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133716.529:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133721.587:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133726.604:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133731.616:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133736.634:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133741.653:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133746.665:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133751.682:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133756.701:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133801.771:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133806.776:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133811.790:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133816.829:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133821.846:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133826.864:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133831.866:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133836.897:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133841.922:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133846.931:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133851.938:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133856.964:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133902.240:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133907.268:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133912.279:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133917.371:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133922.398:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133927.410:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133932.901:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133937.917:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0522/133942.938:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
